cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
0	0.931	0.706	0.911	0.879	0.687	0.796	1175	11964	829	151	1326	14119	coastnet	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
40	0.953	0.452	0.749	0.666	0.433	0.575	271	13191	416	241	512	14119	coastnet	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
41	0.922	0.954	0.926	0.896	0.731	0.877	11304	1714	124	977	12281	14119	coastnet	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
0	0.943	0.717	0.963	0.936	0.721	0.834	2045	24797	1587	29	2074	28458	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
40	0.983	0.259	0.726	0.625	0.282	0.473	83	27900	380	95	178	28458	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
41	0.935	0.963	0.964	0.963	0.714	0.901	24361	2250	2	1845	26206	28458	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
0	0.938	0.809	0.883	0.856	0.772	0.830	5072	31266	1129	1265	6337	38732	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
40	0.955	0.897	0.928	0.914	0.869	0.902	7542	29466	691	1033	8575	38732	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
41	0.983	0.986	0.979	0.961	0.964	0.972	23724	14338	574	96	23820	38732	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
0	0.931	0.713	0.905	0.873	0.690	0.795	1735	17056	1146	253	1988	20190	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
40	0.992	0.835	0.909	0.899	0.831	0.869	411	19617	73	89	500	20190	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
41	0.936	0.963	0.928	0.892	0.755	0.884	16618	2281	207	1084	17702	20190	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
0	0.904	0.911	0.912	0.891	0.816	0.882	12338	10583	367	2056	14394	25344	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
40	0.952	0.902	0.955	0.932	0.873	0.915	5637	18479	1008	220	5857	25344	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
41	0.951	0.888	0.957	0.933	0.862	0.910	4925	19182	1069	168	5093	25344	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
0	0.937	0.917	0.944	0.910	0.870	0.910	25691	43339	3839	793	26484	73662	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
40	0.985	0.394	0.911	0.897	0.459	0.665	362	72186	1043	71	433	73662	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
41	0.938	0.949	0.949	0.942	0.876	0.929	42447	26637	280	4298	46745	73662	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
0	0.991	0.983	0.991	0.987	0.977	0.984	20348	62449	524	197	20545	83518	coastnet	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
40	0.994	0.944	0.991	0.988	0.942	0.966	4080	78958	427	53	4133	83518	coastnet	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
41	0.989	0.992	0.991	0.989	0.974	0.987	58035	24574	104	805	58840	83518	coastnet	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
0	0.902	0.905	0.904	0.871	0.807	0.872	20748	19679	1429	2943	23691	44799	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
40	0.942	0.876	0.951	0.923	0.845	0.899	9077	33141	2263	318	9395	44799	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
41	0.960	0.922	0.942	0.930	0.895	0.922	10600	32404	682	1113	11713	44799	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
0	0.937	0.875	0.895	0.879	0.840	0.872	25280	82521	978	6229	31509	115008	coastnet	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
40	0.969	0.917	0.964	0.950	0.899	0.933	19746	91701	2639	922	20668	115008	coastnet	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
41	0.967	0.971	0.964	0.933	0.935	0.951	62698	48510	3667	133	62831	115008	coastnet	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
0	0.927	0.720	0.866	0.830	0.682	0.774	11620	103410	5829	3191	14811	124050	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
40	0.984	0.927	0.983	0.976	0.920	0.952	12237	109890	1700	223	12460	124050	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
41	0.943	0.962	0.944	0.918	0.845	0.917	91166	25773	1498	5613	96779	124050	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
0	0.919	0.652	0.814	0.763	0.607	0.709	6511	72574	3858	3084	9595	86027	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
40	0.975	0.196	0.855	0.823	0.282	0.539	267	83575	2088	97	364	86027	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
41	0.943	0.967	0.922	0.879	0.761	0.883	72255	8911	1048	3813	76068	86027	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
0	0.914	0.853	0.877	0.854	0.803	0.847	44963	119061	2022	13424	58387	179470	coastnet	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
40	0.992	0.812	0.898	0.885	0.808	0.851	2957	175142	626	745	3702	179470	coastnet	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
41	0.918	0.941	0.888	0.820	0.821	0.867	115827	49014	13075	1554	117381	179470	coastnet	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
0	0.976	0.911	0.962	0.952	0.898	0.931	4914	34493	655	304	5218	40366	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
40	0.990	0.802	0.892	0.877	0.797	0.842	804	39164	182	216	1020	40366	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
41	0.982	0.989	0.976	0.961	0.933	0.965	33608	6035	203	520	34128	40366	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
0	0.973	0.817	0.892	0.874	0.803	0.846	13078	195000	2499	3357	16435	213934	coastnet	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
40	0.991	0.203	0.661	0.490	0.216	0.393	244	211779	1413	498	742	213934	coastnet	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
41	0.976	0.987	0.921	0.867	0.840	0.904	194203	14680	2497	2554	196757	213934	coastnet	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
0	0.885	0.644	0.778	0.709	0.576	0.677	11247	84737	5451	7010	18257	108445	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
40	0.981	0.922	0.976	0.967	0.913	0.945	12267	94116	1670	392	12659	108445	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
41	0.904	0.933	0.881	0.820	0.764	0.849	72467	25573	5343	5062	77529	108445	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
0	0.972	0.864	0.930	0.918	0.849	0.890	3895	39061	681	542	4437	44179	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
40	0.985	0.690	0.932	0.922	0.700	0.811	740	42775	560	104	844	44179	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
41	0.977	0.987	0.969	0.950	0.896	0.950	38085	5063	218	813	38898	44179	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
0	0.970	0.841	0.964	0.949	0.832	0.896	14884	165939	4953	684	15568	186460	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
40	0.994	0.940	0.962	0.959	0.937	0.950	8391	176999	397	673	9064	186460	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
41	0.973	0.984	0.975	0.964	0.892	0.954	157289	24086	546	4539	161828	186460	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
0	0.964	0.750	0.957	0.941	0.751	0.850	3335	56904	2050	177	3512	62466	coastnet	./predictions/ATL24_20230115054429_03921807_006_01_gt1r_0_classified.csv
40	0.960	0.028	0.519	0.126	0.019	0.173	36	59913	2050	467	503	62466	coastnet	./predictions/ATL24_20230115054429_03921807_006_01_gt1r_0_classified.csv
41	0.940	0.967	0.950	0.932	0.681	0.882	54843	3863	152	3608	58451	62466	coastnet	./predictions/ATL24_20230115054429_03921807_006_01_gt1r_0_classified.csv
0	0.978	0.921	0.980	0.969	0.911	0.945	13196	89313	2014	251	13447	104774	coastnet	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
40	0.994	0.780	0.893	0.879	0.777	0.832	1068	103102	317	287	1355	104774	coastnet	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
41	0.981	0.989	0.986	0.983	0.927	0.971	88078	14701	101	1894	89972	104774	coastnet	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
