cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
0	0.946	0.929	0.941	0.922	0.886	0.920	21823	36677	1407	1924	23747	61831	coastnet	./predictions/ATL24_20220207164046_07241406_005_01_gt1l_0_classified_4.csv
40	0.978	0.682	0.914	0.899	0.685	0.795	1447	59032	1087	265	1712	61831	coastnet	./predictions/ATL24_20220207164046_07241406_005_01_gt1l_0_classified_4.csv
41	0.958	0.964	0.957	0.936	0.913	0.942	34909	24301	1158	1463	36372	61831	coastnet	./predictions/ATL24_20220207164046_07241406_005_01_gt1l_0_classified_4.csv
0	0.844	0.779	0.838	0.778	0.660	0.764	16393	33929	5681	3630	20023	59633	coastnet	./predictions/ATL24_20210816123941_08231203_005_01_gt3r_0_classified_4.csv
40	0.975	0.833	0.952	0.940	0.824	0.887	3777	54337	1218	301	4078	59633	coastnet	./predictions/ATL24_20210816123941_08231203_005_01_gt3r_0_classified_4.csv
41	0.844	0.864	0.848	0.792	0.687	0.798	29406	20943	3158	6126	35532	59633	coastnet	./predictions/ATL24_20210816123941_08231203_005_01_gt3r_0_classified_4.csv
0	0.938	0.919	0.946	0.912	0.873	0.913	25818	43309	3869	666	26484	73662	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified_4.csv
40	0.983	0.349	0.871	0.847	0.409	0.619	328	72109	1120	105	433	73662	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified_4.csv
41	0.937	0.948	0.949	0.942	0.875	0.928	42315	26705	212	4430	46745	73662	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified_4.csv
0	0.901	0.774	0.917	0.873	0.733	0.824	13781	59141	7199	828	14609	80949	coastnet	./predictions/ATL24_20190916095834_12270401_006_02_gt3r_0_classified_4.csv
40	0.984	0.546	0.824	0.784	0.546	0.675	766	78907	879	397	1163	80949	coastnet	./predictions/ATL24_20190916095834_12270401_006_02_gt3r_0_classified_4.csv
41	0.897	0.932	0.918	0.892	0.737	0.870	57566	15014	758	7611	65177	80949	coastnet	./predictions/ATL24_20190916095834_12270401_006_02_gt3r_0_classified_4.csv
0	0.969	0.821	0.905	0.889	0.804	0.855	6100	77453	1393	1266	7366	86212	coastnet	./predictions/ATL24_20210316175909_12631014_005_01_gt1r_0_classified_4.csv
40	0.988	0.877	0.984	0.978	0.876	0.928	3760	81394	979	79	3839	86212	coastnet	./predictions/ATL24_20210316175909_12631014_005_01_gt1r_0_classified_4.csv
41	0.974	0.985	0.962	0.938	0.891	0.944	73378	10603	602	1629	75007	86212	coastnet	./predictions/ATL24_20210316175909_12631014_005_01_gt1r_0_classified_4.csv
0	0.925	0.699	0.907	0.874	0.678	0.790	1761	16913	1289	227	1988	20190	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified_4.csv
40	0.992	0.824	0.880	0.863	0.823	0.847	381	19646	44	119	500	20190	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified_4.csv
