cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
40	0.854	0.669	0.754	0.674	0.619	0.679	271	1299	27	241	512	1838	coastnet	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
40	0.946	0.576	0.727	0.625	0.567	0.624	83	2047	27	95	178	2252	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
40	0.884	0.897	0.885	0.839	0.766	0.847	7542	5646	691	1033	8575	14912	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
40	0.946	0.859	0.899	0.880	0.827	0.866	411	1942	46	89	500	2488	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
40	0.939	0.902	0.946	0.916	0.862	0.906	5637	13386	1008	220	5857	20251	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
40	0.978	0.554	0.908	0.892	0.579	0.733	362	25971	513	71	433	26917	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
40	0.994	0.982	0.991	0.989	0.978	0.985	4080	20446	99	53	4133	24678	coastnet	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
40	0.932	0.917	0.936	0.900	0.861	0.904	19746	28871	2638	922	20668	52177	coastnet	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
40	0.922	0.876	0.935	0.896	0.827	0.883	9077	21428	2263	318	9395	33086	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
40	0.930	0.927	0.934	0.888	0.865	0.904	12237	13117	1694	223	12460	27271	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
40	0.786	0.200	0.761	0.680	0.232	0.468	267	7559	2036	97	364	9959	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
40	0.982	0.843	0.896	0.882	0.835	0.864	2957	58033	354	745	3702	62089	coastnet	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
40	0.949	0.834	0.884	0.863	0.806	0.847	804	5115	103	216	1020	6238	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
40	0.921	0.264	0.638	0.459	0.229	0.398	244	15575	860	498	742	17177	coastnet	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
40	0.933	0.922	0.939	0.901	0.867	0.907	12267	16587	1670	392	12659	30916	coastnet	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
40	0.919	0.776	0.902	0.867	0.734	0.820	740	4113	324	104	844	5281	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
40	0.959	0.943	0.952	0.941	0.912	0.937	8391	15235	333	673	9064	24632	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
40	0.877	0.128	0.532	0.132	0.174	0.242	36	3487	25	467	503	4015	coastnet	./predictions/ATL24_20230115054429_03921807_006_01_gt1r_0_classified.csv
40	0.970	0.830	0.888	0.871	0.815	0.851	1068	13296	151	287	1355	14802	coastnet	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
40	0.950	0.951	0.950	0.927	0.900	0.932	12759	12367	639	681	13440	26446	coastnet	./predictions/ATL24_20181027185143_04450108_005_01_gt3r_0_classified.csv
40	0.878	0.682	0.767	0.695	0.634	0.695	814	4656	117	643	1457	6230	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt1l_0_classified.csv
40	0.964	0.666	0.817	0.772	0.647	0.725	742	19128	346	398	1140	20614	coastnet	./predictions/ATL24_20220130165727_06021406_005_01_gt3l_0_classified.csv
40	0.948	0.853	0.905	0.885	0.822	0.867	798	4207	120	154	952	5279	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt2l_0_classified.csv
40	0.872	0.861	0.871	0.821	0.742	0.824	9949	11901	1556	1661	11610	25067	coastnet	./predictions/ATL24_20211227185523_00841406_005_01_gt2l_0_classified.csv
40	0.986	0.830	0.946	0.939	0.826	0.885	1236	34332	375	132	1368	36075	coastnet	./predictions/ATL24_20220830201152_10681602_005_01_gt2r_0_classified.csv
