cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
40	0.937	0.895	0.936	0.908	0.851	0.898	5480	13486	908	377	5857	20251	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified_3.csv
40	0.971	0.640	0.822	0.779	0.625	0.716	358	13177	218	185	543	13938	coastnet	./predictions/ATL24_20220913113704_12761607_006_01_gt3r_0_classified_3.csv
40	0.774	0.310	0.682	0.575	0.243	0.453	169	2407	623	128	297	3327	coastnet	./predictions/ATL24_20220102100417_01701406_005_01_gt2l_0_classified_3.csv
40	0.883	0.895	0.886	0.843	0.765	0.847	7422	5743	594	1153	8575	14912	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified_3.csv
40	0.920	0.862	0.896	0.869	0.806	0.858	1006	2700	127	196	1202	4029	coastnet	./predictions/ATL24_20210704023000_01601201_005_01_gt3r_1_classified_3.csv
40	0.977	0.414	0.726	0.624	0.405	0.542	225	27022	380	258	483	27885	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt2r_0_classified_3.csv
40	0.961	0.946	0.953	0.943	0.916	0.939	8353	15317	251	711	9064	24632	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified_3.csv
40	0.682	0.121	0.732	0.647	0.162	0.415	813	24663	11642	223	1036	37341	coastnet	./predictions/ATL24_20211027210956_05411303_005_01_gt1l_0_classified_3.csv
40	0.781	0.184	0.729	0.640	0.204	0.439	245	7534	2061	119	364	9959	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified_3.csv
40	0.979	0.863	0.886	0.871	0.859	0.870	710	9938	18	207	917	10873	coastnet	./predictions/ATL24_20211129072752_10361307_005_01_gt2l_0_classified_3.csv
40	0.988	0.947	0.986	0.980	0.941	0.964	21273	168566	2027	339	21612	192205	coastnet	./predictions/ATL24_20210802235312_06161208_005_01_gt3r_0_classified_3.csv
40	0.942	0.384	0.816	0.766	0.404	0.592	52	2640	143	24	76	2859	coastnet	./predictions/ATL24_20210902114045_10821203_005_01_gt2r_0_classified_3.csv
40	0.898	0.671	0.916	0.872	0.654	0.778	1954	14878	1784	129	2083	18745	coastnet	./predictions/ATL24_20200226193823_09480608_005_01_gt1r_0_classified_3.csv
40	0.976	0.239	0.808	0.758	0.298	0.526	593	150161	3447	337	930	154538	coastnet	./predictions/ATL24_20190516043226_07320302_006_02_gt1l_0_classified_3.csv
40	0.946	0.822	0.876	0.852	0.793	0.836	10668	70166	1457	3158	13826	85449	coastnet	./predictions/ATL24_20191214093113_11980514_006_01_gt1r_0_classified_3.csv
40	0.985	0.673	0.826	0.787	0.665	0.738	2115	128535	961	1095	3210	132706	coastnet	./predictions/ATL24_20221012022839_03261708_005_01_gt2r_0_classified_3.csv
40	0.927	0.761	0.934	0.901	0.739	0.834	1604	11103	911	95	1699	13713	coastnet	./predictions/ATL24_20200730204050_05420806_005_01_gt3l_0_classified_3.csv
40	0.943	0.574	0.798	0.741	0.547	0.665	10147	236578	9144	5888	16035	261757	coastnet	./predictions/ATL24_20201222173922_13670913_005_01_gt3l_0_classified_3.csv
40	0.929	0.934	0.927	0.883	0.858	0.900	84047	69824	8482	3366	87413	165719	coastnet	./predictions/ATL24_20220825124020_09861614_005_01_gt1r_1_classified_3.csv
40	0.937	0.712	0.925	0.897	0.700	0.808	5048	56225	3590	498	5546	65361	coastnet	./predictions/ATL24_20220706055950_02191602_005_01_gt3r_0_classified_3.csv
40	0.954	0.790	0.884	0.860	0.765	0.825	775	7785	209	202	977	8971	coastnet	./predictions/ATL24_20210212205409_07771002_005_01_gt1r_0_classified_3.csv
40	0.950	0.897	0.948	0.925	0.866	0.909	26885	90132	4627	1568	28453	123212	coastnet	./predictions/ATL24_20210311184010_11881001_005_01_gt1r_0_classified_3.csv
40	0.944	0.385	0.627	0.410	0.417	0.460	2199	116839	794	6224	8423	126056	coastnet	./predictions/ATL24_20191230205203_00630608_005_01_gt3r_0_classified_3.csv
40	0.980	0.954	0.963	0.958	0.941	0.954	5598	20371	135	408	6006	26512	coastnet	./predictions/ATL24_20201016163241_03430914_005_01_gt3l_0_classified_3.csv
40	0.922	0.469	0.851	0.808	0.478	0.652	13500	346606	26598	3944	17444	390648	coastnet	./predictions/ATL24_20220304021217_10961414_005_01_gt2l_0_classified_3.csv
40	0.797	0.600	0.851	0.779	0.547	0.694	12134	51297	15260	895	13029	79586	coastnet	./predictions/ATL24_20220106124003_02331402_005_01_gt1l_0_classified_3.csv
40	0.971	0.645	0.868	0.841	0.638	0.748	6488	232494	5060	2089	8577	246131	coastnet	./predictions/ATL24_20220114025039_03491401_005_01_gt2l_0_classified_3.csv
40	0.834	0.659	0.755	0.675	0.562	0.663	3374	14068	1015	2469	5843	20926	coastnet	./predictions/ATL24_20220116222507_03921401_005_01_gt1l_0_classified_3.csv
40	0.971	0.787	0.951	0.937	0.783	0.864	3259	55621	1505	255	3514	60640	coastnet	./predictions/ATL24_20190524041544_08540302_005_01_gt2l_0_classified_3.csv
40	0.946	0.536	0.693	0.559	0.554	0.586	70	2061	13	108	178	2252	coastnet	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified_3.csv
40	0.925	0.481	0.867	0.827	0.495	0.667	3337	85303	6386	819	4156	95845	coastnet	./predictions/ATL24_20220808201030_07321602_006_01_gt3r_0_classified_3.csv
40	0.982	0.958	0.968	0.964	0.947	0.959	5849	22627	153	357	6206	28986	coastnet	./predictions/ATL24_20220622132617_00101601_005_02_gt3r_0_classified_3.csv
40	0.959	0.943	0.958	0.940	0.911	0.938	156469	295324	11690	7398	163867	470881	coastnet	./predictions/ATL24_20210324134640_13831007_005_01_gt3r_0_classified_3.csv
40	0.795	0.078	0.813	0.742	0.156	0.447	4780	434244	112048	965	5745	552037	coastnet	./predictions/ATL24_20190401062949_00460302_005_01_gt2l_0_classified_3.csv
40	0.915	0.926	0.909	0.852	0.833	0.880	8913	6364	1183	232	9145	16692	coastnet	./predictions/ATL24_20190429055556_04730306_005_01_gt2l_0_classified_3.csv
40	0.979	0.922	0.955	0.948	0.911	0.934	3950	27527	334	330	4280	32141	coastnet	./predictions/ATL24_20190501095559_05060307_005_01_gt2l_0_classified_3.csv
